Species,CulmenLength,CulmenDepth,FlipperLength,OriginLocation,BodyMass,BeakRatio,WingToMass
0,39.1,18.7,181.0,0,3750.0,2.0909090909090913,0.048266666666666666
0,39.5,17.4,186.0,0,3800.0,2.270114942528736,0.04894736842105263
0,40.3,18.0,195.0,0,3250.0,2.238888888888889,0.06
0,38.047999999999995,18.392,182.86,0,3622.5,2.0687255328403653,0.050478951000690137
0,36.7,19.3,193.0,0,3450.0,1.9015544041450778,0.05594202898550724
0,39.3,20.6,190.0,0,3650.0,1.907766990291262,0.052054794520547946
0,38.9,17.8,181.0,0,3625.0,2.185393258426966,0.049931034482758624
0,39.2,19.6,195.0,0,4675.0,2.0,0.04171122994652406
0,34.1,18.1,193.0,0,3475.0,1.8839779005524862,0.05553956834532374
0,42.0,20.2,190.0,0,4250.0,2.0792079207920793,0.04470588235294118
0,37.8,17.1,186.0,0,3300.0,2.2105263157894735,0.056363636363636366
0,37.8,17.3,180.0,0,3700.0,2.184971098265896,0.04864864864864865
0,41.1,17.6,182.0,0,3200.0,2.3352272727272725,0.056875
0,38.6,21.2,191.0,0,3800.0,1.8207547169811322,0.05026315789473684
0,34.6,21.1,198.0,0,4400.0,1.6398104265402844,0.045
0,36.6,17.8,185.0,0,3700.0,2.056179775280899,0.05
0,38.7,19.0,195.0,0,3450.0,2.0368421052631582,0.05652173913043478
0,42.5,20.7,197.0,0,4500.0,2.0531400966183577,0.04377777777777778
0,34.4,18.4,184.0,0,3325.0,1.8695652173913044,0.05533834586466165
0,46.0,21.5,194.0,0,4200.0,2.13953488372093,0.04619047619047619
0,37.8,18.3,174.0,2,3400.0,2.065573770491803,0.051176470588235295
0,37.7,18.7,180.0,2,3600.0,2.016042780748663,0.05
0,35.9,19.2,189.0,2,3800.0,1.8697916666666667,0.049736842105263156
0,38.2,18.1,185.0,2,3950.0,2.110497237569061,0.04683544303797468
0,38.8,17.2,180.0,2,3800.0,2.255813953488372,0.04736842105263158
0,35.3,18.9,187.0,2,3800.0,1.8677248677248677,0.049210526315789475
0,40.6,18.6,183.0,2,3550.0,2.182795698924731,0.05154929577464789
0,40.5,17.9,187.0,2,3200.0,2.2625698324022347,0.0584375
0,37.9,18.6,172.0,2,3150.0,2.0376344086021505,0.054603174603174605
0,40.5,18.9,180.0,2,3950.0,2.1428571428571432,0.04556962025316456
0,39.5,16.7,178.0,1,3250.0,2.3652694610778444,0.05476923076923077
0,37.2,18.1,178.0,1,3900.0,2.0552486187845305,0.045641025641025644
0,39.5,17.8,188.0,1,3300.0,2.2191011235955056,0.05696969696969697
0,40.9,18.9,184.0,1,3900.0,2.164021164021164,0.04717948717948718
0,36.4,17.0,195.0,1,3325.0,2.1411764705882352,0.058646616541353384
0,39.2,21.1,196.0,1,4150.0,1.8578199052132702,0.047228915662650604
0,38.8,20.0,190.0,1,3950.0,1.94,0.04810126582278481
0,42.2,18.5,180.0,1,3550.0,2.2810810810810813,0.05070422535211268
0,37.6,19.3,181.0,1,3300.0,1.9481865284974094,0.05484848484848485
0,39.8,19.1,184.0,1,4650.0,2.083769633507853,0.03956989247311828
0,36.5,18.0,182.0,1,3150.0,2.0277777777777777,0.057777777777777775
0,40.8,18.4,195.0,1,3900.0,2.217391304347826,0.05
0,36.0,18.5,186.0,1,3100.0,1.945945945945946,0.06
0,44.1,19.7,196.0,1,4400.0,2.238578680203046,0.04454545454545455
0,37.0,16.9,185.0,1,3000.0,2.1893491124260356,0.06166666666666667
0,39.6,18.8,190.0,1,4600.0,2.106382978723404,0.041304347826086954
0,41.1,19.0,182.0,1,3425.0,2.1631578947368424,0.053138686131386864
0,37.5,18.9,179.0,1,2975.0,1.9841269841269842,0.060168067226890755
0,36.0,17.9,190.0,1,3450.0,2.011173184357542,0.05507246376811594
0,42.3,21.2,191.0,1,4150.0,1.9952830188679245,0.04602409638554217
2,46.5,17.9,192.0,1,3500.0,2.597765363128492,0.054857142857142854
2,50.0,19.5,196.0,1,3900.0,2.5641025641025643,0.050256410256410255
2,51.3,19.2,193.0,1,3650.0,2.671875,0.052876712328767124
2,45.4,18.7,188.0,1,3525.0,2.427807486631016,0.05333333333333334
2,52.7,19.8,197.0,1,3725.0,2.6616161616161618,0.05288590604026846
2,45.2,17.8,198.0,1,3950.0,2.539325842696629,0.05012658227848101
2,46.1,18.2,178.0,1,3250.0,2.5329670329670333,0.05476923076923077
2,51.3,18.2,197.0,1,3750.0,2.8186813186813184,0.052533333333333335
2,46.0,18.9,195.0,1,4150.0,2.433862433862434,0.046987951807228916
2,51.3,19.9,198.0,1,3700.0,2.577889447236181,0.053513513513513515
2,46.6,17.8,193.0,1,3800.0,2.6179775280898876,0.05078947368421052
2,51.7,20.3,194.0,1,3775.0,2.5467980295566504,0.05139072847682119
2,47.0,17.3,185.0,1,3700.0,2.7167630057803467,0.05
2,52.0,18.1,201.0,1,4050.0,2.87292817679558,0.04962962962962963
2,45.9,17.1,190.0,1,3575.0,2.6842105263157894,0.05314685314685315
2,50.5,19.6,201.0,1,4050.0,2.576530612244898,0.04962962962962963
2,50.3,20.0,197.0,1,3300.0,2.5149999999999997,0.0596969696969697
2,58.0,17.8,181.0,1,3700.0,3.258426966292135,0.04891891891891892
2,46.4,18.6,190.0,1,3450.0,2.494623655913978,0.05507246376811594
2,49.2,18.2,195.0,1,4400.0,2.7032967032967035,0.04431818181818182
2,42.4,17.3,181.0,1,3600.0,2.450867052023121,0.050277777777777775
2,48.5,17.5,191.0,1,3400.0,2.7714285714285714,0.05617647058823529
2,43.2,16.6,187.0,1,2900.0,2.602409638554217,0.06448275862068965
2,50.6,19.4,193.0,1,3800.0,2.6082474226804124,0.05078947368421052
2,46.7,17.9,195.0,1,3300.0,2.608938547486034,0.05909090909090909
2,52.0,19.0,197.0,1,4150.0,2.736842105263158,0.047469879518072286
2,50.5,18.4,200.0,1,3400.0,2.7445652173913047,0.058823529411764705
2,49.5,19.0,200.0,1,3800.0,2.6052631578947367,0.05263157894736842
2,46.4,17.8,191.0,1,3700.0,2.6067415730337076,0.05162162162162162
2,52.8,20.0,205.0,1,4550.0,2.6399999999999997,0.045054945054945054
2,40.9,16.6,187.0,1,3200.0,2.4638554216867465,0.0584375
2,54.2,20.8,201.0,1,4300.0,2.605769230769231,0.04674418604651163
2,42.5,16.7,187.0,1,3350.0,2.5449101796407185,0.05582089552238806
2,51.0,18.8,203.0,1,4100.0,2.7127659574468086,0.04951219512195122
2,49.7,18.6,195.0,1,3600.0,2.672043010752688,0.05416666666666667
2,47.5,16.8,199.0,1,3900.0,2.827380952380952,0.05102564102564103
2,47.6,18.3,195.0,1,3850.0,2.601092896174863,0.05064935064935065
2,52.0,20.7,210.0,1,4800.0,2.5120772946859904,0.04375
2,46.9,16.6,192.0,1,2700.0,2.8253012048192767,0.07111111111111111
2,53.5,19.9,205.0,1,4500.0,2.6884422110552766,0.04555555555555556
2,49.0,19.5,210.0,1,3950.0,2.5128205128205128,0.053164556962025315
2,46.2,17.5,187.0,1,3650.0,2.64,0.05123287671232877
2,50.9,19.1,196.0,1,3550.0,2.664921465968586,0.0552112676056338
2,45.5,17.0,196.0,1,3500.0,2.676470588235294,0.056
2,50.9,17.9,196.0,1,3675.0,2.8435754189944134,0.05333333333333334
2,50.8,18.5,201.0,1,4450.0,2.745945945945946,0.045168539325842694
2,50.1,17.9,190.0,1,3400.0,2.7988826815642462,0.05588235294117647
2,49.0,19.6,212.0,1,4300.0,2.5,0.04930232558139535
2,51.5,18.7,187.0,1,3250.0,2.7540106951871657,0.05753846153846154
2,49.8,17.3,198.0,1,3675.0,2.8786127167630053,0.053877551020408164
1,46.1,13.2,211.0,2,4500.0,3.4924242424242427,0.04688888888888889
1,50.0,16.3,230.0,2,5700.0,3.067484662576687,0.04035087719298246
1,48.7,14.1,210.0,2,4450.0,3.4539007092198584,0.04719101123595506
1,50.0,15.2,218.0,2,5700.0,3.2894736842105265,0.03824561403508772
1,47.6,14.5,215.0,2,5400.0,3.282758620689655,0.03981481481481482
1,46.5,13.5,210.0,2,4550.0,3.4444444444444446,0.046153846153846156
1,45.4,14.6,211.0,2,4800.0,3.1095890410958904,0.043958333333333335
1,46.7,15.3,219.0,2,5200.0,3.0522875816993467,0.04211538461538462
1,43.3,13.4,209.0,2,4400.0,3.231343283582089,0.0475
1,46.8,15.4,215.0,2,5150.0,3.038961038961039,0.04174757281553398
1,40.9,13.7,214.0,2,4650.0,2.985401459854015,0.046021505376344085
1,49.0,16.1,216.0,2,5550.0,3.043478260869565,0.03891891891891892
1,45.5,13.7,214.0,2,4650.0,3.321167883211679,0.046021505376344085
1,48.4,14.6,213.0,2,5850.0,3.315068493150685,0.03641025641025641
1,45.8,14.6,210.0,2,4200.0,3.136986301369863,0.05
1,49.3,15.7,217.0,2,5850.0,3.140127388535032,0.03709401709401709
1,42.0,13.5,210.0,2,4150.0,3.111111111111111,0.05060240963855422
1,49.2,15.2,221.0,2,6300.0,3.2368421052631584,0.03507936507936508
1,46.2,14.5,209.0,2,4800.0,3.1862068965517243,0.043541666666666666
1,48.7,15.1,222.0,2,5350.0,3.2251655629139075,0.041495327102803736
1,50.2,14.3,218.0,2,5700.0,3.5104895104895104,0.03824561403508772
1,45.1,14.5,215.0,2,5000.0,3.110344827586207,0.043
1,46.5,14.5,213.0,2,4400.0,3.206896551724138,0.04840909090909091
1,46.3,15.8,215.0,2,5050.0,2.9303797468354427,0.04257425742574258
1,42.9,13.1,215.0,2,5000.0,3.2748091603053435,0.043
1,46.1,15.1,215.0,2,5100.0,3.0529801324503314,0.04215686274509804
1,44.5,14.3,216.0,2,4100.0,3.1118881118881117,0.05268292682926829
1,47.8,15.0,215.0,2,5650.0,3.1866666666666665,0.03805309734513274
1,48.2,14.3,210.0,2,4600.0,3.370629370629371,0.04565217391304348
1,50.0,15.3,220.0,2,5550.0,3.2679738562091503,0.03963963963963964
1,47.3,15.3,222.0,2,5250.0,3.091503267973856,0.04228571428571429
1,42.8,14.2,209.0,2,4700.0,3.0140845070422535,0.044468085106382976
1,45.1,14.5,207.0,2,5050.0,3.110344827586207,0.04099009900990099
1,59.6,17.0,230.0,2,6050.0,3.5058823529411764,0.03801652892561983
1,49.1,14.8,220.0,2,5150.0,3.3175675675675675,0.04271844660194175
1,48.4,16.3,220.0,2,5400.0,2.969325153374233,0.040740740740740744
1,50.5,15.2,216.0,2,5000.0,3.322368421052632,0.0432
1,49.8,15.9,229.0,2,5950.0,3.132075471698113,0.038487394957983194
1,43.5,15.2,213.0,2,4650.0,2.861842105263158,0.045806451612903226
1,51.5,16.3,230.0,2,5500.0,3.1595092024539877,0.04181818181818182
1,46.2,14.1,217.0,2,4375.0,3.276595744680851,0.0496
1,55.1,16.0,230.0,2,5850.0,3.44375,0.039316239316239315
1,44.5,15.7,217.0,2,4875.0,2.8343949044585988,0.04451282051282051
1,48.8,16.2,222.0,2,6000.0,3.0123456790123457,0.037
1,47.2,13.7,214.0,2,4925.0,3.445255474452555,0.04345177664974619
1,46.507999999999996,14.594000000000003,212.08,2,5025.5,3.1867890914074266,0.04220077604218486
1,46.8,14.3,215.0,2,4850.0,3.2727272727272725,0.0443298969072165
1,50.4,15.7,222.0,2,5750.0,3.210191082802548,0.03860869565217391
1,45.2,14.8,212.0,2,5200.0,3.054054054054054,0.040769230769230766
1,49.9,16.1,213.0,2,5400.0,3.0993788819875774,0.03944444444444444
